Id,Name,Shape Library,Page ID,Contained By,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6
1,Page,,,,,,,,Page 1,,,,,
2,Swim Lane,Flowchart Shapes,1,,,,,,Reporter,System,Cyber Analyst,Cyber Lead / IC,IT Support,Risk & Compliance
100,Terminator,Flowchart Shapes,1,2:1,,,,,Start,,,,,
110,Process,Flowchart Shapes,1,2:1,,,,,Submit Incident Report,BT-INT,M-INT-01,Intake,,
120,Process,Flowchart Shapes,1,2:2,,,,,"Intake & Acknowledge [M1, 15m]",BT-INT,M-INT-01,Intake,,
130,Delay,Flowchart Shapes,1,2:2,,,,,SLA Timer Start [Crit 24h],BT-TRK,M-TRK-01,Tracking,,
140,Process,Flowchart Shapes,1,2:3,,,,,Initial Assessment [45m],BT-TRI,M-TRI-01,Triage,,
150,Process,Flowchart Shapes,1,2:3,,,,,Classify & Send M2 [15m],BT-APR1,M-TRI-01,Triage,,
160,Decision,Flowchart Shapes,1,2:4,,,,,Critical?,BT-APR1,M-APR-01,Crit Gate,,
170,Process,Flowchart Shapes,1,2:4,,,,,Declare Critical & IC [30m],BT-APR1,M-APR-01,Crit Gate,,
180,Process,Flowchart Shapes,1,2:2,,,,,Send Exec Brief [M-ALERT],BT-COM,M-APR-01,Crit Gate,,
190,Process,Flowchart Shapes,1,2:3,,,,,Collect Evidence [2h],BT-EXE,M-EXE-01,Investigate,,
200,Process,Flowchart Shapes,1,2:3,,,,,Determine Root Cause [2h],BT-EXE,M-EXE-01,Investigate,,
210,Process,Flowchart Shapes,1,2:5,,,,,Execute Containment [4h],BT-EXE,M-EXE-02,Contain,,
220,Process,Flowchart Shapes,1,2:2,,,,,Send Containment MS [M3],BT-COM,M-EXE-02,Contain,,
230,Decision,Flowchart Shapes,1,2:6,,,,,Regulatory / Breach?,BT-APR1,M-APR-02,Breach Gate,,
240,Process,Flowchart Shapes,1,2:6,,,,,Invoke Breach Mgmt [2h],BT-EXE,M-APR-02,Breach Gate,,
250,Process,Flowchart Shapes,1,2:5,,,,,Eradicate & Recover [Variable],BT-EXE,M-EXE-03,Recover,,
260,Decision,Flowchart Shapes,1,2:4,,,,,Resolution Verified?,BT-REV,M-EXE-03,Recover,,
270,Process,Flowchart Shapes,1,2:3,,,,,Document & Close [4h],BT-CLS,M-CLS-01,Closure,,
280,Process,Flowchart Shapes,1,2:2,,,,,Send Closure + CSAT [M5],BT-COM,M-CLS-01,Closure,,
290,Process,Flowchart Shapes,1,2:2,,,,,Archive Case,BT-CLS,M-CLS-01,Closure,,
300,Process,Flowchart Shapes,1,2:4,,,,,Conduct PIR [10d],BT-REV,M-PIR-01,PIR,,
310,Process,Flowchart Shapes,1,2:4,,,,,Update KB & Controls [M6],BT-EXE,M-PIR-01,PIR,,
320,Terminator,Flowchart Shapes,1,2:4,,,,,End - Resolved,,,,,
1000,Line,,1,,100,110,None,Arrow,,,,,,
1010,Line,,1,,110,120,None,Arrow,,,,,,
1020,Line,,1,,120,130,None,Arrow,,,,,,
1030,Line,,1,,130,140,None,Arrow,,,,,,
1040,Line,,1,,140,150,None,Arrow,,,,,,
1050,Line,,1,,150,160,None,Arrow,,,,,,
1060,Line,,1,,160,170,None,Arrow,Yes,,,,,
1070,Line,,1,,160,140,None,Arrow,No (re-triage),,,,,
1080,Line,,1,,170,180,None,Arrow,,,,,,
1090,Line,,1,,180,190,None,Arrow,,,,,,
1100,Line,,1,,190,200,None,Arrow,,,,,,
1110,Line,,1,,200,210,None,Arrow,,,,,,
1120,Line,,1,,210,220,None,Arrow,,,,,,
1130,Line,,1,,220,230,None,Arrow,,,,,,
1140,Line,,1,,230,240,None,Arrow,Yes,,,,,
1150,Line,,1,,230,250,None,Arrow,No,,,,,
1160,Line,,1,,240,250,None,Arrow,,,,,,
1170,Line,,1,,250,260,None,Arrow,,,,,,
1180,Line,,1,,260,270,None,Arrow,Yes,,,,,
1190,Line,,1,,260,250,None,Arrow,"No (rework, max 2)",,,,,
1200,Line,,1,,270,280,None,Arrow,,,,,,
1210,Line,,1,,280,290,None,Arrow,,,,,,
1220,Line,,1,,290,300,None,Arrow,,,,,,
1230,Line,,1,,300,310,None,Arrow,,,,,,
1240,Line,,1,,310,320,None,Arrow,,,,,,
