Id,Name,Shape Library,Page ID,Contained By,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6
1,Page,,,,,,,,Page 1,,,,,
2,Swim Lane,Flowchart Shapes,1,,,,,,Caller Service,System,Legal Counsel,Procurement,Contract Owner,
100,Terminator,Flowchart Shapes,1,2:1,,,,,Start (Service Call In),,,,,
110,Process,Flowchart Shapes,1,2:2,,,,,Receive Contract Pkg [M1],BT-INT,M-INT-01,Intake,,
120,Delay,Flowchart Shapes,1,2:2,,,,,SLA Timer Start [5d],BT-TRK,M-TRK-01,Tracking,,
130,Process,Flowchart Shapes,1,2:3,,,,,Initial Legal Review [1d],BT-REV,M-REV-01,Legal Review,,
140,Decision,Flowchart Shapes,1,2:3,,,,,Standard Terms?,BT-VAL,M-REV-01,Legal Review,,
150,Process,Flowchart Shapes,1,2:3,,,,,Mark for Negotiation [2h],BT-REV,M-REV-02,Negotiation,,
160,Process,Flowchart Shapes,1,2:4,,,,,Negotiate with Vendor [2d],BT-STK,M-EXE-01,Negotiation,,
170,Decision,Flowchart Shapes,1,2:4,,,,,Terms Agreed?,BT-APR1,M-APR-01,Agreement,,
180,Process,Flowchart Shapes,1,2:3,,,,,Update Contract [4h],BT-EXE,M-EXE-02,Update,,
190,Process,Flowchart Shapes,1,2:3,,,,,Final Legal Approval [4h],BT-APR1,M-APR-02,Final Review,,
200,Process,Flowchart Shapes,1,2:5,,,,,Owner Signature [4h],BT-APR1,M-APR-03,Signature,,
210,Process,Flowchart Shapes,1,2:2,,,,,Issue CON Outcome [M5],BT-COM,M-CLS-01,Closure,,
220,Process,Flowchart Shapes,1,2:2,,,,,Archive Contract,BT-CLS,M-CLS-01,Closure,,
230,Terminator,Flowchart Shapes,1,2:1,,,,,End - CON Complete,,,,,
1000,Line,,1,,100,110,None,Arrow,,,,,,
1010,Line,,1,,110,120,None,Arrow,,,,,,
1020,Line,,1,,120,130,None,Arrow,,,,,,
1030,Line,,1,,130,140,None,Arrow,,,,,,
1040,Line,,1,,140,190,None,Arrow,Yes,,,,,
1050,Line,,1,,140,150,None,Arrow,No,,,,,
1060,Line,,1,,150,160,None,Arrow,,,,,,
1070,Line,,1,,160,170,None,Arrow,,,,,,
1080,Line,,1,,170,180,None,Arrow,Yes,,,,,
1090,Line,,1,,170,160,None,Arrow,No (revise),,,,,
1100,Line,,1,,180,190,None,Arrow,,,,,,
1110,Line,,1,,190,200,None,Arrow,,,,,,
1120,Line,,1,,200,210,None,Arrow,,,,,,
1130,Line,,1,,210,220,None,Arrow,,,,,,
1140,Line,,1,,220,230,None,Arrow,,,,,,
