Id,Name,Shape Library,Page ID,Contained By,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6
1,Page,,,,,,,,Page 1,,,,,
2,Swim Lane,Flowchart Shapes,1,,,,,,Caller Service,System,DD Analyst,DD Lead,Risk Compliance,
100,Terminator,Flowchart Shapes,1,2:1,,,,,Start (Service Call In),,,,,
110,Process,Flowchart Shapes,1,2:2,,,,,Receive DD Request [M1],BT-INT,M-INT-01,Intake,,
120,Delay,Flowchart Shapes,1,2:2,,,,,SLA Timer Start [5d],BT-TRK,M-TRK-01,Tracking,,
130,Process,Flowchart Shapes,1,2:3,,,,,Validate Vendor Data [2h],BT-VAL,M-INT-01,Intake,,
140,Decision,Flowchart Shapes,1,2:3,,,,,Data Sufficient?,BT-VAL,M-INT-01,Intake,,
150,Process,Flowchart Shapes,1,2:3,,,,,Request Additional Data [4h],BT-VAL,M-INT-01,Intake,,
160,Process,Flowchart Shapes,1,2:3,,,,,Run Sanctions Screen [4h],BT-RSK,M-EXE-01,Screening,,
170,Process,Flowchart Shapes,1,2:3,,,,,Run Adverse Media [6h],BT-RSK,M-EXE-02,Screening,,
180,Process,Flowchart Shapes,1,2:3,,,,,Background Check [1d],BT-RSK,M-EXE-03,Screening,,
190,Process,Flowchart Shapes,1,2:5,,,,,Beneficial Owner Check [1d],BT-RSK,M-EXE-04,Ownership,,
200,Process,Flowchart Shapes,1,2:3,,,,,Compile DD Report [4h],BT-DLC,M-EXE-05,Reporting,,
210,Decision,Flowchart Shapes,1,2:4,,,,,Findings Material?,BT-REV,M-REV-01,Review,,
220,Process,Flowchart Shapes,1,2:4,,,,,Senior Review [4h],BT-REV,M-REV-01,Review,,
230,Process,Flowchart Shapes,1,2:2,,,,,Issue DD Outcome [M5],BT-COM,M-CLS-01,Closure,,
240,Process,Flowchart Shapes,1,2:2,,,,,Archive DD Record,BT-CLS,M-CLS-01,Closure,,
250,Terminator,Flowchart Shapes,1,2:1,,,,,End - DD Complete,,,,,
1000,Line,,1,,100,110,None,Arrow,,,,,,
1010,Line,,1,,110,120,None,Arrow,,,,,,
1020,Line,,1,,120,130,None,Arrow,,,,,,
1030,Line,,1,,130,140,None,Arrow,,,,,,
1040,Line,,1,,140,160,None,Arrow,Yes,,,,,
1050,Line,,1,,140,150,None,Arrow,No,,,,,
1060,Line,,1,,150,140,None,Arrow,Resubmit,,,,,
1070,Line,,1,,160,170,None,Arrow,,,,,,
1080,Line,,1,,170,180,None,Arrow,,,,,,
1090,Line,,1,,180,190,None,Arrow,,,,,,
1100,Line,,1,,190,200,None,Arrow,,,,,,
1110,Line,,1,,200,210,None,Arrow,,,,,,
1120,Line,,1,,210,220,None,Arrow,Yes,,,,,
1130,Line,,1,,210,230,None,Arrow,No,,,,,
1140,Line,,1,,220,230,None,Arrow,,,,,,
1150,Line,,1,,230,240,None,Arrow,,,,,,
1160,Line,,1,,240,250,None,Arrow,,,,,,
