Id,Name,Shape Library,Page ID,Contained By,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6
1,Page,,,,,,,,Page 1,,,,,
2,Swim Lane,Flowchart Shapes,1,,,,,,Requester,System,Proc Analyst,Proc Manager,Risk & Legal,Vendor Master
100,Terminator,Flowchart Shapes,1,2:1,,,,,Start,,,,,
110,Process,Flowchart Shapes,1,2:1,,,,,Submit Request,BT-INT,M-INT-01,Intake,,
120,Process,Flowchart Shapes,1,2:2,,,,,"Intake & Validate [M1, 15m]",BT-INT,M-INT-01,Intake,,
130,Delay,Flowchart Shapes,1,2:2,,,,,SLA Timer Start [10d],BT-TRK,M-TRK-01,Tracking,,
140,Process,Flowchart Shapes,1,2:3,,,,,Initial Assessment [4h],BT-TRI,M-TRI-01,Triage,,
150,Decision,Flowchart Shapes,1,2:3,,,,,Package Complete?,BT-VAL,M-TRI-01,Triage,,
160,Process,Flowchart Shapes,1,2:3,,,,,Request Missing Info [4h],BT-VAL,M-TRI-01,Triage,,
170,Process,Flowchart Shapes,1,2:5,,,,,Run Due Diligence [5d],BT-RSK,VND-DD001,Due Diligence,,
180,Process,Flowchart Shapes,1,2:5,,,,,Run Financial Check [3d],BT-RSK,VND-FIN001,Financial,,
190,Process,Flowchart Shapes,1,2:5,,,,,Run Security Clearance [4d],BT-RSK,VND-SEC001,Security,,
200,Decision,Flowchart Shapes,1,2:4,,,,,Risk Acceptable?,BT-APR1,M-APR-01,Risk Gate,,
210,Process,Flowchart Shapes,1,2:2,,,,,Notify Rejection [M-REJ],BT-COM,M-CLS-02,Reject,,
220,Process,Flowchart Shapes,1,2:5,,,,,Run Contract Review [5d],BT-RSK,VND-CON001,Contract,,
230,Decision,Flowchart Shapes,1,2:4,,,,,Contract Approved?,BT-APR1,M-APR-02,Contract Gate,,
240,Process,Flowchart Shapes,1,2:2,,,,,Send Rework Notice [M3],BT-COM,M-APR-02,Contract Gate,,
250,Process,Flowchart Shapes,1,2:6,,,,,Register in ERP [1d],BT-EXE,VND-REG001,Registration,,
260,Process,Flowchart Shapes,1,2:2,,,,,Send Activation [M5],BT-COM,M-CLS-01,Closure,,
270,Process,Flowchart Shapes,1,2:2,,,,,Archive Case,BT-CLS,M-CLS-01,Closure,,
280,Terminator,Flowchart Shapes,1,2:6,,,,,End - Vendor Active,,,,,
290,Terminator,Flowchart Shapes,1,2:1,,,,,End - Rejected,,,,,
1000,Line,,1,,100,110,None,Arrow,,,,,,
1010,Line,,1,,110,120,None,Arrow,,,,,,
1020,Line,,1,,120,130,None,Arrow,,,,,,
1030,Line,,1,,130,140,None,Arrow,,,,,,
1040,Line,,1,,140,150,None,Arrow,,,,,,
1050,Line,,1,,150,170,None,Arrow,Yes,,,,,
1060,Line,,1,,150,160,None,Arrow,No,,,,,
1070,Line,,1,,160,150,None,Arrow,Resubmit,,,,,
1080,Line,,1,,170,180,None,Arrow,,,,,,
1090,Line,,1,,180,190,None,Arrow,,,,,,
1100,Line,,1,,190,200,None,Arrow,,,,,,
1110,Line,,1,,200,220,None,Arrow,Yes,,,,,
1120,Line,,1,,200,210,None,Arrow,No,,,,,
1130,Line,,1,,210,290,None,Arrow,,,,,,
1140,Line,,1,,220,230,None,Arrow,,,,,,
1150,Line,,1,,230,250,None,Arrow,Yes,,,,,
1160,Line,,1,,230,240,None,Arrow,No,,,,,
1170,Line,,1,,240,220,None,Arrow,Rework (max 2),,,,,
1180,Line,,1,,250,260,None,Arrow,,,,,,
1190,Line,,1,,260,270,None,Arrow,,,,,,
1200,Line,,1,,270,280,None,Arrow,,,,,,
