Id,Name,Shape Library,Page ID,Contained By,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6
1,Page,,,,,,,,Page 1,,,,,
2,Swim Lane,Flowchart Shapes,1,,,,,,Caller Service,System,VMD Analyst,VMD Manager,,
100,Terminator,Flowchart Shapes,1,2:1,,,,,Start (Service Call In),,,,,
110,Process,Flowchart Shapes,1,2:2,,,,,Receive REG Request [M1],BT-INT,M-INT-01,Intake,,
120,Delay,Flowchart Shapes,1,2:2,,,,,SLA Timer Start [1d],BT-TRK,M-TRK-01,Tracking,,
130,Process,Flowchart Shapes,1,2:2,,,,,Auto-Validate Payload [15m],BT-VAL,M-INT-01,Intake,,
140,Decision,Flowchart Shapes,1,2:2,,,,,Payload Valid?,BT-VAL,M-INT-01,Intake,,
150,Process,Flowchart Shapes,1,2:3,,,,,Manual Correction [2h],BT-EXC,M-EXC-01,Exception,,
160,Process,Flowchart Shapes,1,2:2,,,,,Create Vendor Record [30m],BT-EXE,M-EXE-01,Create,,
170,Process,Flowchart Shapes,1,2:2,,,,,Set Payment Terms [30m],BT-EXE,M-EXE-02,Configure,,
180,Process,Flowchart Shapes,1,2:2,,,,,Set Tax Codes [30m],BT-EXE,M-EXE-03,Configure,,
190,Decision,Flowchart Shapes,1,2:4,,,,,Manual Review Needed?,BT-APR1,M-APR-01,QA,,
200,Process,Flowchart Shapes,1,2:4,,,,,VMD Manager Approval [2h],BT-APR1,M-APR-01,QA,,
210,Process,Flowchart Shapes,1,2:2,,,,,Activate Vendor [15m],BT-EXE,M-EXE-04,Activate,,
220,Process,Flowchart Shapes,1,2:2,,,,,Issue REG Outcome [M5],BT-COM,M-CLS-01,Closure,,
230,Terminator,Flowchart Shapes,1,2:1,,,,,End - REG Complete,,,,,
1000,Line,,1,,100,110,None,Arrow,,,,,,
1010,Line,,1,,110,120,None,Arrow,,,,,,
1020,Line,,1,,120,130,None,Arrow,,,,,,
1030,Line,,1,,130,140,None,Arrow,,,,,,
1040,Line,,1,,140,160,None,Arrow,Yes,,,,,
1050,Line,,1,,140,150,None,Arrow,No,,,,,
1060,Line,,1,,150,140,None,Arrow,Re-validate,,,,,
1070,Line,,1,,160,170,None,Arrow,,,,,,
1080,Line,,1,,170,180,None,Arrow,,,,,,
1090,Line,,1,,180,190,None,Arrow,,,,,,
1100,Line,,1,,190,200,None,Arrow,Yes,,,,,
1110,Line,,1,,190,210,None,Arrow,No,,,,,
1120,Line,,1,,200,210,None,Arrow,,,,,,
1130,Line,,1,,210,220,None,Arrow,,,,,,
1140,Line,,1,,220,230,None,Arrow,,,,,,
