Id,Name,Shape Library,Page ID,Contained By,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6
1,Page,,,,,,,,Page 1,,,,,
2,Swim Lane,Flowchart Shapes,1,,,,,,Caller Service,System,Sec Analyst,Sec Lead,CISO Office,
100,Terminator,Flowchart Shapes,1,2:1,,,,,Start (Service Call In),,,,,
110,Process,Flowchart Shapes,1,2:2,,,,,Receive SEC Request [M1],BT-INT,M-INT-01,Intake,,
120,Delay,Flowchart Shapes,1,2:2,,,,,SLA Timer Start [4d],BT-TRK,M-TRK-01,Tracking,,
130,Process,Flowchart Shapes,1,2:3,,,,,Classify Vendor Risk [4h],BT-TRI,M-TRI-01,Classification,,
140,Decision,Flowchart Shapes,1,2:3,,,,,High Risk Vendor?,BT-VAL,M-TRI-01,Classification,,
150,Process,Flowchart Shapes,1,2:3,,,,,Run Standard Review [1d],BT-RSK,M-EXE-01,Standard Review,,
160,Process,Flowchart Shapes,1,2:3,,,,,Run Deep Cyber Review [2d],BT-RSK,M-EXE-02,Deep Review,,
170,Process,Flowchart Shapes,1,2:3,,,,,Data Handling Review [4h],BT-RSK,M-EXE-03,Data Review,,
180,Decision,Flowchart Shapes,1,2:4,,,,,Findings Critical?,BT-APR1,M-APR-01,Decision,,
190,Process,Flowchart Shapes,1,2:5,,,,,CISO Sign-off [4h],BT-APR2,M-APR-02,Escalation,,
200,Process,Flowchart Shapes,1,2:2,,,,,Issue SEC Outcome [M5],BT-COM,M-CLS-01,Closure,,
210,Process,Flowchart Shapes,1,2:2,,,,,Archive SEC Record,BT-CLS,M-CLS-01,Closure,,
220,Terminator,Flowchart Shapes,1,2:1,,,,,End - SEC Complete,,,,,
1000,Line,,1,,100,110,None,Arrow,,,,,,
1010,Line,,1,,110,120,None,Arrow,,,,,,
1020,Line,,1,,120,130,None,Arrow,,,,,,
1030,Line,,1,,130,140,None,Arrow,,,,,,
1040,Line,,1,,140,160,None,Arrow,Yes,,,,,
1050,Line,,1,,140,150,None,Arrow,No,,,,,
1060,Line,,1,,150,170,None,Arrow,,,,,,
1070,Line,,1,,160,170,None,Arrow,,,,,,
1080,Line,,1,,170,180,None,Arrow,,,,,,
1090,Line,,1,,180,190,None,Arrow,Yes,,,,,
1100,Line,,1,,180,200,None,Arrow,No,,,,,
1110,Line,,1,,190,200,None,Arrow,,,,,,
1120,Line,,1,,200,210,None,Arrow,,,,,,
1130,Line,,1,,210,220,None,Arrow,,,,,,
